dv,s,a
9.90521,406.904,1.14802
10.0402,405.889,-0.0717289
10.0642,404.896,1.32246
10.5678,403.876,0.867801
10.6607,402.783,-1.28151
10.4725,401.744,0.993811
10.8089,400.688,2.80124
10.9723,399.582,0.71012
10.8698,398.494,0.334917
10.8534,397.408,0.758301
10.7675,396.323,-0.593699
10.6008,395.255,-1.55694
10.4268,394.203,-1.44045
10.2914,393.169,-0.858776
10.2358,392.145,-0.230657
10.3259,391.122,0.687553
10.5874,390.08,1.39025
10.7465,389.005,0.785934
10.8663,387.93,0.6187
10.7613,386.831,2.06481
10.7737,385.778,3.49667
-6.61082,354.085,1.1113
-6.77789,353.415,1.02905
-6.92378,352.73,0.948341
-0.421745,349.279,0.328305
-0.987027,349.192,0.338869
-1.07734,349.082,0.974278
-1.42237,348.976,1.89982
-1.72456,348.798,0.654173
-1.65077,348.631,-0.803889
-1.69594,348.467,-0.237842
-1.85205,348.292,-0.59571
-1.7554,348.097,-1.83367
-0.17425,336.503,0.422792
-8.01287,323.937,0.78925
-8.19476,323.144,0.769893
-8.44396,322.298,-0.0932442
-8.24565,321.455,-1.35229
-0.135903,311.064,1.65056
-0.335359,311.044,1.96136
-0.600128,310.997,1.6294
-0.72357,310.924,0.0209366
-0.666742,310.852,-1.09096
-0.573904,310.79,-1.24869
-12.3086,310.753,-0.596957
-0.494188,310.737,-1.16321
-0.426669,310.691,-1.07847
-0.36947,310.652,-0.995166
-0.320324,310.618,-0.0746339
-12.1642,309.535,0.258667
-12.1861,308.32,-1.4992
-12.1254,307.098,-3.42666
-11.7712,305.895,-2.86902
-11.4505,304.743,-1.32096
-11.332,303.605,-1.55546
-11.1128,302.477,-2.6778
-6.98894,301.929,0.869731
-10.7301,301.382,-2.87721
-10.3046,300.331,-2.60237
-9.89241,299.322,-0.871832
-10.2572,298.353,1.53141
-10.8595,297.27,0.820782
-10.7001,296.181,-1.43592
-10.3153,295.13,-2.06813
-10.1477,294.118,-1.8597
-10.2459,293.101,-1.66217
-10.1989,292.068,-1.47589
-9.90438,291.061,-1.30108
-9.57234,290.088,-1.13781
-9.26601,289.146,-1.61547
3.26495,288.677,-1.54773
3.08142,288.365,-0.599192
-9.09814,288.234,-2.39864
2.91658,288.061,-0.278017
2.73894,287.782,-0.388868
2.71833,287.513,-0.512878
-8.98428,287.327,-1.86447
2.63783,287.238,-0.650775
2.55064,286.985,-0.803251
2.57642,286.728,-0.970947
-8.95867,286.55,-0.684682
2.5041,286.47,-1.15444
2.41494,286.227,-1.35424
-8.99527,285.647,-0.217774
-8.85386,284.751,-0.127378
0.407093,284.711,-0.21957
0.260548,284.686,0.687575
0.431611,284.434,1.245
0.881294,284.375,2.25287
1.11332,284.258,1.45109
-0.16172,284.195,4.60595
-0.750161,284.174,1.45565
0.314388,284.165,2.86976
0.908861,284.152,-0.731327
-0.666727,284.132,3.68628
0.297127,284.132,1.2356
-0.674458,284.095,-0.206701
0.685149,284.076,-1.68289
-0.43327,284.039,-1.52504
0.338607,284.015,-1.79467
-0.121831,284.008,-1.90464
-8.64371,283.877,-0.0480259
-8.45784,283.022,0.0210384
-10.2042,282.588,-0.843
-8.29459,282.185,0.0805642
-10.1013,281.573,-0.299956
1.75902,281.553,0.4985
-8.15217,281.363,0.131288
2.25454,281.353,0.603184
2.70611,281.102,0.35304
2.90503,280.812,-0.587236
-9.852,280.568,-1.08732
-8.02876,280.555,-1.29473
2.9096,280.521,-0.858167
2.95635,280.23,0.212845
3.07018,279.93,1.00371
-7.88147,279.757,-3.41449
3.30903,279.616,1.1796
-9.48171,279.602,-0.593125
3.7653,279.268,1.37032
-7.73292,278.978,-2.44122
-7.64239,278.211,0.0576725
-7.58472,277.45,0.91214
-7.53929,276.694,0.906652
-7.50465,275.942,0.89347
-7.47949,275.193,0.87376
-7.46262,274.446,0.848586
3.63216,274.24,4.22854
4.29876,273.852,6.07984
-7.45298,273.7,0.818923
4.9509,273.38,5.0808
-7.44965,272.955,-2.15167
5.42569,272.862,4.06113
5.88219,272.295,4.75241
-7.07271,272.21,-6.49778
6.50375,271.686,4.13651
-6.52488,271.541,-4.64649
-6.4019,271.018,0.266748
6.79601,270.994,3.41123
-6.49879,270.373,1.06192
7.13251,270.327,6.87628
-6.42867,269.718,-0.245658
8.06517,269.567,7.67755
-6.27989,269.087,0.211371
8.69443,268.714,5.45056
-6.31644,268.462,1.53865
9.2287,267.829,5.24184
-6.44777,267.824,1.92586
-6.57573,267.173,1.82228
9.6706,266.868,1.40656
-6.69961,266.509,1.08632
9.32924,265.894,-6.22354
-6.73484,265.833,-0.784572
-6.55785,265.162,-2.55878
8.18583,265.002,-7.80189
-6.22233,264.633,-2.29674
0.369098,264.555,-1.1472
7.40108,264.257,-3.72204
-6.03734,264.03,-0.928188
7.12621,263.522,-3.25257
-5.96113,263.426,-0.377209
-5.89559,262.837,-0.317759
6.66222,262.832,-4.0208
-5.83989,262.247,-0.263394
6.33495,262.189,-4.00508
-5.79322,261.669,-0.213933
5.87796,261.565,-5.29097
-5.75479,261.088,-1.00841
5.29767,261.014,-4.77801
-5.556,260.518,0.108331
4.94746,260.506,-2.40752
4.84509,260.024,-0.706471
-5.57922,259.977,3.23142
4.83808,259.536,-0.943315
-5.76439,259.403,1.96253
4.69006,259.057,-1.61061
-5.64696,258.824,-1.72159
4.54978,258.598,-0.935048
-5.38289,258.273,-2.83926
4.5356,258.147,-0.158708
-5.14167,257.748,-2.62295
4.54825,257.691,-1.87641
-4.92248,257.245,-2.41149
4.18788,257.237,-3.32642
3.90861,256.854,-1.30159
-4.72436,256.763,-2.2062
3.95322,256.455,-1.48296
-4.5463,256.3,-2.00815
3.64098,256.063,-2.428
-4.38725,255.854,-1.81822
3.5049,255.727,-0.0709814
-4.24611,255.423,-0.588017
3.68002,255.362,1.5226
-4.03783,255.005,1.12316
3.89125,254.991,1.3522
-3.80603,254.615,0.610615
-3.68203,254.356,-1.00583
-3.45196,253.991,-1.4615
-3.1554,253.665,-1.3163
-3.05606,253.36,-1.1785
-3.06305,253.054,-1.04838
-3.0778,252.747,-0.9261
-3.09914,252.439,-0.811749
9.39933,252.331,-1.90681
-3.12597,252.127,-0.705316
-2.77965,251.813,-0.606718
-2.26044,251.572,-0.515813
9.20954,251.393,-2.81107
-2.16343,251.249,-0.432407
-2.28587,251.026,-0.356261
-2.40769,250.792,-0.287101
-2.52784,250.545,-0.224626
9.23354,250.489,-0.618001
-2.64544,250.286,-0.168513
-2.75973,250.016,-0.118422
-2.87009,249.734,-0.0740062
9.67399,249.546,0.885518
-2.97604,249.442,-1.08395
-2.36384,249.139,-2.58912
-0.674016,248.992,-0.743841
-1.41317,248.969,-1.88479
-0.809388,248.926,0.177507
-1.24943,248.856,-0.929884
-1.01752,248.83,-0.192365
-1.03553,248.723,-0.605219
-1.32302,248.719,-1.54179
-1.1228,248.623,1.98162
-1.141,248.592,-0.996776
10.106,248.554,0.430013
-1.62458,248.498,4.06222
-1.05673,248.491,0.417829
-1.07675,248.38,0.890985
0.761983,248.335,-1.45274
-2.09856,248.298,1.71867
-1.10264,248.276,0.87134
0.729827,248.26,-1.15044
0.684789,248.189,-0.89812
-1.13338,248.16,0.00701158
0.528079,248.123,-1.94383
0.265843,248.084,-2.04012
-2.10588,248.078,-1.44574
-1.00018,248.049,-2.72266
-0.455894,247.96,-4.371
0.0565702,247.958,-2.88637
-1.92438,247.877,-2.25571
-1.74979,247.694,-2.09413
-1.58299,247.527,-1.93492
10.3399,247.525,-0.964312
10.375,246.486,-1.48623
10.6059,245.45,-0.240338
10.9903,244.365,0.609166
11.3164,243.252,0.00662757
11.4498,242.102,-1.76891
-5.29032,241.013,0.155751
11.1894,240.962,-2.45298
-5.32498,240.602,0.14383
-5.41509,240.06,-0.707051
11.0833,239.864,-0.925843
-5.31226,239.519,-1.53017
-5.20123,238.997,-0.385502
11.2886,238.746,0.107811
-5.30947,238.478,0.749231
-5.41961,237.936,-0.328965
11.5122,237.606,0.0888526
-5.31419,237.395,-0.979953
-5.30035,236.873,0.775466
11.7544,236.443,0.0659725
-5.39493,236.334,2.05443
-8.87629,236.068,0.0298318
-5.44851,235.794,0.878553
12.0157,235.255,0.0388033
-5.4257,235.245,-1.12699
-8.87044,235.175,-0.454084
-5.26181,234.709,-1.73144
-8.92125,234.294,0.391426
-5.15791,234.192,-0.348405
12.2476,234.04,0.00696624
-5.28303,233.677,0.78185
-9.04746,233.391,-0.0460165
-5.41231,233.136,-0.300522
12.3566,232.806,-0.0299264
-5.32293,232.595,-0.955385
-8.86743,232.485,-1.3579
-1.09097,232.252,-1.58164
1.22966,232.228,-0.0691347
-0.93475,232.151,-1.44509
1.07974,232.108,-0.485247
-5.31889,232.071,-0.042782
-0.791451,232.065,-1.31358
1.01352,232.012,0.385939
-0.658377,231.993,0.700649
-0.928548,231.934,3.59134
1.02289,231.906,-0.0675518
0.850124,231.808,-0.481621
-1.43422,231.807,2.49035
0.759964,231.736,0.391888
0.74437,231.656,-0.0589796
-1.51054,231.647,-0.586469
-8.61641,231.618,-0.894241
0.54574,231.587,-1.07797
12.3818,231.569,-0.315412
0.404627,231.546,-1.48997
-5.40653,231.531,-0.418167
0.388043,231.506,-1.19407
-1.32582,231.505,-1.56266
0.394383,231.469,0.482259
0.445999,231.427,1.6733
-1.15075,231.382,-1.44612
0.50089,231.38,1.81951
0.55898,231.327,1.48274
-0.984787,231.275,-1.3319
0.522885,231.268,0.214384
0.302932,231.222,-0.174531
0.164085,231.207,1.21105
0.195857,231.189,1.23391
-0.828189,231.185,-1.22073
-0.681717,231.109,-1.11325
0.254806,231.056,-1.44932
-0.546333,231.048,-1.00995
0.363382,231.026,-2.3764
-0.422891,231,0.137819
-4.92842,230.99,-0.833687
0.45534,230.983,0.243981
-0.674538,230.964,1.77096
0.508259,230.935,2.08391
0.563988,230.881,1.76192
-1.06498,230.865,1.18491
-1.07412,230.863,-0.500443
0.622368,230.822,0.507673
-0.935377,230.763,-1.0204
-8.68466,230.761,0.868672
0.683183,230.757,0.131909
0.746163,230.686,1.04311
-0.803957,230.676,-0.934896
0.0297808,230.625,5.4672
-0.103206,230.619,3.91079
0.123628,230.613,1.7079
0.71371,230.608,0.628833
-0.142481,230.604,-0.273587
-0.68113,230.602,-0.852261
0.133655,230.6,-0.876251
0.199456,230.594,2.95999
-0.132832,230.59,-1.65077
0.14377,230.586,-0.943663
-0.1233,230.577,-1.56479
0.208203,230.574,4.12615
0.153875,230.571,-1.01147
-0.113945,230.566,-1.47588
-0.104821,230.555,-1.38526
0.163857,230.555,-1.079
0.216764,230.553,1.30507
-0.0959735,230.545,-1.29402
-4.41304,230.545,0.0744981
0.495915,230.543,-1.32782
-0.567663,230.54,-0.772875
0.173595,230.538,-1.14548
-0.0874413,230.535,-1.20308
0.222404,230.531,-0.635163
-0.0792561,230.527,1.82408
-0.365112,230.52,6.22214
0.182962,230.52,-1.21004
0.226649,230.508,-0.68841
0.19183,230.502,-0.177544
-0.463892,230.488,-0.697038
0.229307,230.486,-0.74258
-1.05435,230.474,1.61898
0.230204,230.463,-0.797234
-0.788678,230.454,5.25758
-0.369817,230.447,-0.624975
0.229181,230.439,-0.851861
-0.310621,230.435,-0.232176
0.226111,230.417,-0.905869
-0.285198,230.414,0.492198
-0.244426,230.408,-0.778505
0.308858,230.396,-4.54735
0.220901,230.394,-0.107578
-0.284621,230.39,2.09559
-0.184815,230.386,-0.718056
0.183565,230.372,2.32689
-0.131352,230.371,-0.659105
0.197026,230.369,-5.30497
-0.0836523,230.36,-0.601996
0.0963683,230.358,3.22688
-0.334728,230.358,1.48079
0.124967,230.357,-1.13582
-1.06188,230.356,-0.516209
-0.0413642,230.354,-0.547012
0.0282871,230.353,1.0244
-0.00415739,230.352,-0.494376
0.137344,230.344,1.76767
12.4068,230.329,-1.07363
0.15018,230.329,1.95216
0.163409,230.314,2.14451
0.176949,230.297,2.34387
0.190703,230.278,2.54921
-0.806588,230.262,-1.82003
0.204558,230.258,2.75924
0.218379,230.237,2.12144
-0.643488,230.194,-2.18434
-0.580557,230.133,-2.05855
-4.41908,230.107,0.533437
0.377904,230.102,-0.635383
-0.352879,230.078,-1.93062
-0.175543,230.075,2.39739
0.0631039,230.068,-0.415223
-0.0500087,230.063,-1.80203
0.719937,230.049,-2.7893
-0.53433,230.033,2.94261
-0.447898,229.968,1.23943
0.756977,229.958,-1.44772
-0.307981,229.943,1.29315
-0.436079,229.907,1.63263
0.522034,229.898,0.05054
-8.75607,229.881,1.05636
-0.309805,229.856,0.651258
0.266239,229.854,0.0842287
-0.010921,229.845,0.122282
-4.57833,229.661,0.504826
-4.73084,229.192,-0.363846
12.4314,229.087,-1.39883
-8.62032,229.01,0.3213
-4.70712,228.715,-0.785926
-4.76352,228.25,0.116143
-8.63929,228.157,0.475407
12.4065,227.843,-0.843132
-4.9073,227.762,-0.269831
-8.7724,227.282,0.651648
-4.87322,227.269,-0.695887
-4.91865,226.788,0.201906
12.2871,226.606,-0.488363
-8.91233,226.402,0.587733
-4.75342,226.285,0.650672
-4.439,225.837,1.03179
-4.53266,225.51,1.60853
-9.05703,225.5,0.526996
12.2053,225.386,-0.558102
-4.82999,225.043,1.29956
-3.94553,224.633,-0.22144
-9.2027,224.591,0.469573
-5.02232,224.544,-0.28596
-3.72043,224.233,-1.02343
12.2056,224.165,-0.632747
-4.98702,224.038,-1.37516
-3.44051,223.889,-0.971533
-9.34491,223.659,0.415549
-4.94652,223.546,-1.09099
-3.44818,223.545,-0.917616
-3.32978,223.2,-0.862455
-4.95361,223.049,-0.368102
12.155,222.944,-0.712261
-3.17499,222.879,-0.806732
-9.47964,222.722,1.2042
-3.09405,222.565,-0.751041
-5.04382,222.555,0.72656
-2.97467,222.26,1.19238
-5.25651,222.04,0.710814
-3.17447,221.97,4.01728
-9.77164,221.763,1.75908
12.0086,221.734,-0.796551
-4.91439,221.504,0.013313
-4.3602,221.057,0.202761
-9.54978,220.767,0.251937
11.8986,220.543,-0.885457
-4.30847,220.407,-0.427137
-4.32425,219.971,-1.69164
-8.95421,219.853,-0.798632
-4.25056,219.543,-1.60353
-0.679492,219.395,1.17515
11.8695,219.354,-0.492458
-4.10124,219.121,-0.415533
-8.88151,218.864,-0.252923
-4.00345,218.722,0.499293
-4.12795,218.32,0.702368
11.9345,218.169,0.830254
-9.02685,217.965,0.0821715
-4.33736,217.897,0.661185
-4.53394,217.453,-0.219813
-9.16514,217.059,0.895029
-4.00514,216.99,-1.49313
12.1829,216.967,1.27079
-3.13003,216.652,-0.575246
-3.11716,216.252,0.575394
-9.46183,216.132,1.2639
8.75659,215.934,1.35476
-3.37362,215.916,-0.48743
12.3495,215.732,-0.0668797
-3.44259,215.577,-0.284415
-3.54939,215.227,1.45769
-6.31398,215.196,3.07915
-9.65845,215.167,0.311378
8.7036,215.061,1.77803
-3.69743,214.867,1.20229
-6.25205,214.572,2.71792
12.3443,214.497,-1.01922
-3.83755,214.488,-0.593658
-9.747,214.2,0.649743
8.53751,214.193,-0.0713609
-3.88555,214.099,-1.23209
-3.97004,213.711,-0.722315
8.21561,213.353,-1.99207
-3.5911,213.305,-0.0180146
12.3346,213.263,-1.13906
-9.99288,213.217,1.87033
-3.05251,212.993,1.05731
-3.18798,212.92,1.02177
-3.46693,212.58,-0.534975
8.04618,212.55,-1.2782
-3.55441,212.226,-1.17736
-10.3073,212.201,1.74259
12.3197,212.03,-1.26539
-3.67609,211.869,-0.671514
8.08175,211.744,0.314398
-3.83568,211.491,0.0289177
-10.1637,211.156,0.938636
-4.06845,211.102,1.10046
8.10026,210.934,-0.760864
12.2991,210.799,-1.39786
-4.41367,210.677,1.06125
-4.61046,210.219,-0.49904
-9.79742,210.169,1.02743
7.7321,210.124,-2.99259
-4.1546,209.755,-1.14482
12.272,209.571,-1.53602
-3.5184,209.388,-0.2226
-9.88717,209.196,1.56167
-3.51848,209.164,0.251239
-3.73104,208.797,-0.181479
-3.88459,208.418,0.0284942
12.2378,208.345,-1.67927
-3.94241,208.202,-1.35202
-10.1981,208.191,1.63601
-4.11167,208.02,0.257201
-3.90721,207.812,-1.28466
-4.11587,207.595,-0.177293
0.596102,207.463,-2.22747
0.385309,207.422,-1.30955
-3.75179,207.421,-1.21447
0.267135,207.386,-1.25928
0.0160634,207.369,-1.61804
-3.98297,207.197,-0.388513
-10.4825,207.157,1.47482
12.1957,207.123,-0.854286
-3.34915,207.062,0.535999
-4.02675,206.799,-0.357293
-3.34736,206.751,3.911
-3.93283,206.392,4.13572
-4.15777,206.391,0.0926451
-10.7415,206.095,1.32172
-4.02713,205.967,0.318007
12.2907,205.906,1.83482
-3.68522,205.586,-0.119945
-3.65823,205.23,0.0849291
-10.9763,205.008,1.17703
-3.73165,204.854,0.308702
12.6078,204.665,2.76453
-3.67166,204.484,-0.550156
-3.65541,204.12,-0.962015
-11.1883,203.899,1.04096
-3.77054,203.753,0.370148
12.7034,203.384,0.143032
-4.09144,203.366,1.44973
-4.39615,202.934,0.736941
-11.3787,202.771,0.91362
-4.5486,202.487,-0.610069
-11.8227,202.237,-2.22756
12.5747,202.124,-1.70236
-4.26492,202.025,-1.4426
-3.62751,201.634,-0.726505
-11.549,201.624,-1.51289
-3.4061,201.412,0.62327
-11.7396,201.07,-1.91541
-3.61929,201.065,0.199218
12.4681,200.869,-1.87708
-3.74205,200.688,-0.683746
-11.0305,200.461,-5.00932
-3.85042,200.316,-0.0183186
-4.0808,199.918,0.0221999
-11.8972,199.889,-1.73279
12.2048,199.631,-2.05894
-4.17208,199.5,-0.620242
-10.1789,199.418,-3.6262
0.0277292,199.336,1.57613
0.312865,199.32,1.79718
0.639241,199.273,2.03347
-4.24923,199.083,-0.796906
-11.9794,198.69,-2.398
-4.28105,198.65,-1.15162
-10.055,198.537,0.172163
11.8226,198.428,-2.24709
-4.0541,198.227,-1.28479
-3.72896,197.839,-1.17774
-3.63687,197.594,-0.6546
-10.3041,197.519,1.40305
-11.7091,197.493,-3.46444
11.4527,197.266,-2.4405
-3.74967,197.224,-0.358984
3.51638,197.036,-2.24886
-3.81697,196.844,-0.729888
3.29215,196.701,-2.87527
-10.5351,196.477,1.29798
-3.83482,196.461,-0.46136
3.25463,196.377,-1.49214
-11.2143,196.348,-3.60819
11.1872,196.138,-2.15163
-3.93571,196.077,0.242156
-4.07491,195.674,0.475149
-10.7485,195.412,1.19506
-4.20388,195.262,0.0423343
-10.7595,195.25,-3.27842
-3.16891,195.152,-0.0969335
11.0347,195.029,-0.202047
-4.23889,194.833,-0.589094
-3.11696,194.819,0.521755
-3.12919,194.529,1.35562
-3.93116,194.414,-1.17614
-10.9447,194.327,0.255699
-10.3315,194.196,-1.91372
-3.38507,194.193,0.641255
-3.40204,194.047,-1.71935
11.1008,193.931,2.75522
-3.3397,193.852,0.553187
-3.15987,193.846,-0.960747
-3.264,193.527,0.00834804
-3.41124,193.525,1.14897
-10.9563,193.223,-1.0725
-3.37037,193.193,-0.1567
-10.3069,193.184,-0.0738951
-3.63093,193.169,0.440815
-3.42616,192.853,-0.345366
11.4837,192.809,3.55471
-3.72667,192.799,-0.479565
-3.76345,192.536,-0.687603
-3.47974,192.508,-0.295045
-3.79966,192.159,-0.650886
-3.53091,192.157,-0.248787
-10.8733,192.136,-0.625616
-10.4504,192.135,-0.464066
