,Indicator,Value,Month
0,Degree Centrality,0.7795918367346937,Oct.19
1,Degree Centrality,0.6848979591836735,Nov.19
2,Degree Centrality,0.7657142857142857,Dec.19
3,Degree Centrality,0.6881632653061225,Jan.20
4,Degree Centrality,0.7567346938775509,Feb.20
5,Degree Centrality,0.6987755102040816,Mar.20
6,Degree Centrality,0.6481632653061224,Apr.20
7,Degree Centrality,0.710204081632653,May.20
8,Degree Centrality,0.6448979591836733,Jun.20
9,Degree Centrality,0.7061224489795919,Jul.20
10,Degree Centrality,0.6620408163265306,Aug.20
11,Degree Centrality,0.7306122448979591,Sep.20
12,Degree Centrality,0.6906122448979591,Oct.20
13,Degree Centrality,0.7379591836734692,Nov.20
14,Degree Centrality,0.6938775510204082,Dec.20
15,Degree Centrality,0.7534693877551021,Jan.21
16,Degree Centrality,0.6922448979591834,Feb.21
17,Degree Centrality,0.7428571428571427,Mar.21
18,Degree Centrality,0.7681632653061223,Apr.21
19,Degree Centrality,0.6955102040816327,May.21
20,Degree Centrality,0.7567346938775509,Jun.21
21,Degree Centrality,0.753469387755102,Jul.21
22,Degree Centrality,0.689795918367347,Aug.21
23,Degree Centrality,0.773877551020408,Sep.21
24,Degree Centrality,0.6840816326530613,Oct.21
0,Betweenness Centrality,0.004591836734693877,Oct.19
1,Betweenness Centrality,0.0066156462585034,Nov.19
2,Betweenness Centrality,0.004880952380952382,Dec.19
3,Betweenness Centrality,0.006666666666666666,Jan.20
4,Betweenness Centrality,0.005068027210884355,Feb.20
5,Betweenness Centrality,0.006275510204081632,Mar.20
6,Betweenness Centrality,0.00739795918367347,Apr.20
7,Betweenness Centrality,0.006037414965986394,May.20
8,Betweenness Centrality,0.007670068027210885,Jun.20
9,Betweenness Centrality,0.006122448979591838,Jul.20
10,Betweenness Centrality,0.007040816326530611,Aug.20
11,Betweenness Centrality,0.005612244897959183,Sep.20
12,Betweenness Centrality,0.006445578231292517,Oct.20
13,Betweenness Centrality,0.005459183673469386,Nov.20
14,Betweenness Centrality,0.006394557823129252,Dec.20
15,Betweenness Centrality,0.005136054421768708,Jan.21
16,Betweenness Centrality,0.00641156462585034,Feb.21
17,Betweenness Centrality,0.005357142857142857,Mar.21
18,Betweenness Centrality,0.004829931972789114,Apr.21
19,Betweenness Centrality,0.006343537414965986,May.21
20,Betweenness Centrality,0.0050680272108843535,Jun.21
21,Betweenness Centrality,0.005136054421768708,Jul.21
22,Betweenness Centrality,0.006462585034013605,Aug.21
23,Betweenness Centrality,0.004710884353741496,Sep.21
24,Betweenness Centrality,0.00683673469387755,Oct.21
